bill/BillInvoiceId,lineItem/UsageAccountId,lineItem/Region,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/UsageAmount,lineItem/UsageUnit,lineItem/UnblendedCost,resourceId,tags/Product,tags/Environment
2025-10-AWS-0001,7.77789E+11,us-west-2,Usage,2025-10-16T05:00:00,2025-10-16T06:00:00,AmazonEBS,EBS:VolumeUsage.gp3,CreateVolume,1597.92,GB-Mo,138.7067,disk-PlatformB-dev-0001,DataPlatform,dev
2025-10-AWS-0001,1.11122E+11,us-east-1,Usage,2025-10-13T21:00:00,2025-10-13T22:00:00,AmazonEBS,EBS:VolumeUsage.io2,CreateVolume,2746.57,GB-Mo,264.3094,disk-PlatformA-prod-0002,Checkout,prod
2025-10-AWS-0001,1.11122E+11,eu-west-1,Usage,2025-10-14T06:00:00,2025-10-14T07:00:00,AmazonVPC,AWS-DataTransfer-Internet-Out-Bytes,DataTransfer,1902.89,GB,185.885,network-PlatformC-dev-0003,Search,dev
2025-10-AWS-0001,7.77789E+11,us-east-1,Usage,2025-10-22T23:00:00,2025-10-23T00:00:00,ElasticLoadBalancing,LoadBalancerUsage,HealthCheck,524.74,Hrs,15.5985,lb-PlatformE-prod-0004,MarketingSite,prod
2025-10-AWS-0001,4.44456E+11,us-east-1,Usage,2025-10-14T06:00:00,2025-10-14T07:00:00,AmazonS3,TimedStorage-ByteHrs,PutObject,1333.47,GB-Mo,24.5114,bucket-PlatformE-prod-0005,MarketingSite,prod
2025-10-AWS-0001,7.77789E+11,us-east-1,Usage,2025-10-14T02:00:00,2025-10-14T03:00:00,AmazonVPC,AWS-DataTransfer-Internet-Out-Bytes,CreateNatGateway,4614.51,GB,370.7268,network-PlatformA-prod-0006,Checkout,prod
2025-10-AWS-0001,4.44456E+11,eu-west-1,Usage,2025-10-04T00:00:00,2025-10-04T01:00:00,AmazonEBS,EBS:VolumeUsage.io2,CreateVolume,3204.41,GB-Mo,278.3338,disk-PlatformE-staging-0007,MarketingSite,staging
2025-10-AWS-0001,1.11122E+11,us-west-2,Usage,2025-10-01T19:00:00,2025-10-01T20:00:00,AmazonRDS,RDS:StorageUsage,ModifyDBInstance,731.05,Hrs,138.0217,db-PlatformE-prod-0008,MarketingSite,prod
2025-10-AWS-0001,1.11122E+11,us-west-2,Usage,2025-10-08T05:00:00,2025-10-08T06:00:00,ElasticLoadBalancing,LoadBalancerUsage,LoadBalancing,445.13,Hrs,10.037,lb-PlatformE-dev-0009,MarketingSite,dev
2025-10-AWS-0001,4.44456E+11,us-west-2,Usage,2025-10-23T16:00:00,2025-10-23T17:00:00,AmazonEBS,EBS:VolumeUsage.io2,AttachVolume,3710.06,GB-Mo,322.8001,disk-PlatformD-prod-0010,InternalTools,prod
2025-10-AWS-0001,4.44456E+11,us-east-1,Usage,2025-10-24T08:00:00,2025-10-24T09:00:00,AmazonEBS,EBS:VolumeUsage.gp3,CreateVolume,3318.23,GB-Mo,304.6449,disk-PlatformD-dev-0011,InternalTools,dev
2025-10-AWS-0001,7.77789E+11,us-east-1,Usage,2025-10-25T21:00:00,2025-10-25T22:00:00,AmazonVPC,AWS-DataTransfer-Internet-Out-Bytes,CreateNatGateway,2508.27,GB,185.7988,network-PlatformE-dev-0012,MarketingSite,dev
2025-10-AWS-0001,4.44456E+11,us-east-1,Usage,2025-10-17T23:00:00,2025-10-18T00:00:00,AmazonVPC,NatGateway-Hours,DataTransfer,500.96,Hrs,20.3199,network-PlatformC-prod-0013,Search,prod
2025-10-AWS-0001,7.77789E+11,us-east-1,Usage,2025-10-19T14:00:00,2025-10-19T15:00:00,AmazonRDS,RDS:Multi-AZUsage,CreateDBInstance,224.38,Hrs,38.5438,db-PlatformD-prod-0014,InternalTools,prod
2025-10-AWS-0001,1.11122E+11,us-east-1,Usage,2025-10-28T07:00:00,2025-10-28T08:00:00,AmazonRDS,RDS:Multi-AZUsage,ModifyDBInstance,250.61,Hrs,49.7373,db-PlatformB-prod-0015,DataPlatform,prod
2025-10-AWS-0001,4.44456E+11,us-west-2,Usage,2025-10-21T17:00:00,2025-10-21T18:00:00,ElasticLoadBalancing,LCUs,HealthCheck,343.93,LCU-Hrs,3.0786,lb-PlatformB-prod-0016,DataPlatform,prod
